# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (7.437791e+00 -3.004451e-32 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-3.010586e-18 4.958528e+00 -2.046974e-15) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((0.000000e+00 8.343614e-12 -1.669640e-11) (7.110710e+00 -1.078833e-14 -1.018081e-14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.138838e-12 4.174099e-13 2.085904e-13) (8.954164e-15 4.758148e+00 -1.181841e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
2             	((0.000000e+00 2.948580e-12 -7.673759e-12) (6.457619e+00 -9.741061e-15 -1.028116e-14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.370456e-12 1.918440e-13 7.371450e-14) (7.986092e-15 4.328531e+00 -1.253721e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3             	((0.000000e+00 -5.876610e-13 -3.513101e-12) (5.963727e+00 -7.535448e-15 -8.337098e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.164268e-13 8.782753e-14 -1.469152e-14) (8.003604e-15 4.005354e+00 -2.043762e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
4             	((0.000000e+00 1.735609e-12 -5.150254e-12) (5.584356e+00 -8.817978e-15 -9.082399e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.964358e-12 1.287563e-13 4.339022e-14) (8.089282e-15 3.758689e+00 -2.395046e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
5             	((0.000000e+00 -1.623624e-12 -8.888739e-13) (5.288191e+00 -5.664285e-15 -5.423132e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.939085e-12 2.222185e-14 -4.059059e-14) (6.303247e-15 3.567465e+00 -2.530157e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
6             	((0.000000e+00 1.053201e-12 -2.319649e-12) (5.053555e+00 -6.014479e-15 -5.051978e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.304046e-12 5.799122e-14 2.633002e-14) (5.532564e-15 3.417106e+00 -2.552817e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
7             	((0.000000e+00 5.991347e-14 -1.659570e-12) (4.865019e+00 -5.342161e-15 -4.878129e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.010363e-13 4.148924e-14 1.497837e-15) (5.138998e-15 3.297243e+00 -2.517285e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
8             	((0.000000e+00 1.609507e-13 -2.732651e-12) (4.711401e+00 -5.808887e-15 -5.885189e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.987719e-14 6.831627e-14 4.023767e-15) (5.868672e-15 3.200371e+00 -2.453253e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
9             	((0.000000e+00 -1.775978e-12 5.071976e-13) (4.584490e+00 -3.278666e-15 -3.664462e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.028978e-12 -1.267994e-14 -4.439945e-14) (4.034094e-15 3.120990e+00 -2.377288e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
10            	((0.000000e+00 1.391509e-12 -3.548739e-12) (4.478197e+00 -5.468696e-15 -4.999360e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.455164e-12 8.871847e-14 3.478773e-14) (5.692796e-15 3.055028e+00 -2.298722e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
11            	((0.000000e+00 4.034959e-13 -8.419203e-13) (4.387969e+00 -4.220969e-15 -3.833071e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.595961e-13 2.104801e-14 1.008740e-14) (3.734003e-15 2.999450e+00 -2.222616e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
12            	((0.000000e+00 -5.574938e-13 -4.756596e-13) (4.310375e+00 -3.382390e-15 -3.020218e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.584054e-13 1.189149e-14 -1.393734e-14) (3.097844e-15 2.951978e+00 -2.151573e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
13            	((0.000000e+00 -6.152416e-13 -1.835328e-12) (4.242813e+00 -3.846031e-15 -3.693195e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.446108e-13 4.588320e-14 -1.538104e-14) (4.296798e-15 2.910890e+00 -2.086734e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
14            	((0.000000e+00 2.115890e-13 -1.560244e-12) (4.183295e+00 -3.823520e-15 -3.507250e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.894578e-13 3.900611e-14 5.289725e-15) (4.069267e-15 2.874880e+00 -2.028395e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
15            	((0.000000e+00 1.042186e-12 -2.684838e-12) (4.130295e+00 -4.595303e-15 -3.775696e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.228413e-12 6.712095e-14 2.605466e-14) (4.255414e-15 2.842949e+00 -1.976369e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
16            	((0.000000e+00 -2.681217e-13 -4.157836e-13) (4.082628e+00 -3.440964e-15 -3.306192e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.993820e-13 1.039459e-14 -6.703043e-15) (3.042387e-15 2.814329e+00 -1.930217e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
17            	((0.000000e+00 -3.748964e-13 -7.799160e-13) (4.039374e+00 -3.257939e-15 -2.859118e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.614801e-13 1.949790e-14 -9.372410e-15) (3.159165e-15 2.788424e+00 -1.889386e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
18            	((0.000000e+00 -1.403028e-13 -9.948339e-13) (3.999807e+00 -3.188193e-15 -2.586804e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.171101e-13 2.487085e-14 -3.507570e-15) (3.150890e-15 2.764772e+00 -1.853287e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
19            	((0.000000e+00 3.067126e-13 -2.605220e-12) (3.963353e+00 -4.169683e-15 -4.370490e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.284243e-13 6.513050e-14 7.667815e-15) (4.287552e-15 2.743008e+00 -1.821291e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
20            	((0.000000e+00 -7.385769e-13 -1.328156e-13) (3.929555e+00 -2.879604e-15 -2.805151e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.726600e-13 3.320389e-15 -1.846442e-14) (3.169384e-15 2.722845e+00 -1.792929e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
21            	((0.000000e+00 2.778751e-13 -1.073275e-12) (3.898044e+00 -3.173521e-15 -3.187589e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.259292e-13 2.683187e-14 6.946877e-15) (3.224927e-15 2.704052e+00 -1.767716e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
22            	((0.000000e+00 4.085257e-13 -1.742823e-12) (3.868520e+00 -3.386746e-15 -3.131720e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.829380e-13 4.357057e-14 1.021314e-14) (3.034911e-15 2.686445e+00 -1.745214e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
23            	((0.000000e+00 -1.520242e-13 -1.305152e-12) (3.840739e+00 -3.226762e-15 -3.139729e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.109752e-13 3.262881e-14 -3.800606e-15) (3.187737e-15 2.669872e+00 -1.725051e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
24            	((0.000000e+00 3.634680e-13 -2.275707e-12) (3.814497e+00 -3.854115e-15 -4.092435e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.420198e-13 5.689268e-14 9.086700e-15) (3.793745e-15 2.654213e+00 -1.706904e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
25            	((0.000000e+00 3.991367e-13 -1.663206e-12) (3.789627e+00 -3.901374e-15 -3.397530e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.194213e-13 4.158016e-14 9.978417e-15) (3.825390e-15 2.639363e+00 -1.690493e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
26            	((0.000000e+00 -8.088279e-13 7.355001e-14) (3.765987e+00 -2.792714e-15 -2.240251e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.179624e-13 -1.838750e-15 -2.022070e-14) (3.029386e-15 2.625239e+00 -1.675583e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
27            	((0.000000e+00 -5.615113e-13 -9.646290e-13) (3.743456e+00 -2.871381e-15 -2.568238e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.282271e-13 2.411573e-14 -1.403778e-14) (3.339940e-15 2.611769e+00 -1.661971e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
28            	((0.000000e+00 8.662802e-13 -1.915411e-12) (3.721932e+00 -3.598922e-15 -2.837881e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.849312e-13 4.788528e-14 2.165700e-14) (3.587801e-15 2.598893e+00 -1.649485e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
29            	((0.000000e+00 -1.419218e-12 9.123018e-13) (3.701326e+00 -1.814640e-15 -2.014993e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.544229e-12 -2.280754e-14 -3.548046e-14) (2.265012e-15 2.586557e+00 -1.637979e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
30            	((0.000000e+00 -6.591302e-13 -1.974311e-13) (3.681562e+00 -1.684110e-15 -1.261763e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.140161e-13 4.935776e-15 -1.647825e-14) (2.395364e-15 2.574718e+00 -1.627329e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
31            	((0.000000e+00 7.088845e-13 -2.266045e-12) (3.662573e+00 -2.818503e-15 -3.096930e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.891366e-13 5.665113e-14 1.772211e-14) (3.176137e-15 2.563336e+00 -1.617429e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
32            	((0.000000e+00 1.140978e-12 -1.829010e-12) (3.644301e+00 -3.231647e-15 -2.672517e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.342784e-12 4.572524e-14 2.852445e-14) (3.152745e-15 2.552377e+00 -1.608189e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
33            	((0.000000e+00 -1.476058e-12 6.166241e-13) (3.626693e+00 -1.744988e-15 -1.673438e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.719630e-12 -1.541560e-14 -3.690145e-14) (2.383345e-15 2.541810e+00 -1.599531e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
34            	((0.000000e+00 1.629364e-12 -1.608676e-12) (3.609703e+00 -2.710487e-15 -2.132626e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.010070e-12 4.021690e-14 4.073411e-14) (2.147062e-15 2.531608e+00 -1.591391e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
35            	((0.000000e+00 4.826962e-13 -1.933312e-12) (3.593289e+00 -3.187186e-15 -2.547070e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.769675e-13 4.833280e-14 1.206740e-14) (2.990765e-15 2.521748e+00 -1.583710e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
36            	((0.000000e+00 -4.586311e-13 -1.283526e-12) (3.577415e+00 -3.060328e-15 -3.183030e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.214496e-13 3.208815e-14 -1.146578e-14) (3.256960e-15 2.512208e+00 -1.576439e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
37            	((0.000000e+00 -6.070240e-13 -3.155878e-13) (3.562048e+00 -2.422084e-15 -2.413160e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.470708e-13 7.889694e-15 -1.517560e-14) (2.582885e-15 2.502968e+00 -1.569535e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
38            	((0.000000e+00 9.290780e-14 -9.619852e-13) (3.547156e+00 -2.564394e-15 -2.349720e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.017862e-13 2.404963e-14 2.322695e-15) (2.615475e-15 2.494011e+00 -1.562962e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
39            	((0.000000e+00 6.885248e-13 -1.236093e-12) (3.532712e+00 -2.834802e-15 -2.166448e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.520645e-13 3.090232e-14 1.721312e-14) (2.562656e-15 2.485320e+00 -1.556685e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
40            	((0.000000e+00 -5.369989e-13 -8.738845e-13) (3.518692e+00 -2.660160e-15 -2.202968e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.146222e-13 2.184711e-14 -1.342497e-14) (2.959338e-15 2.476881e+00 -1.550675e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
41            	((0.000000e+00 -2.740635e-13 -1.379755e-12) (3.505071e+00 -2.861577e-15 -2.494895e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.229424e-13 3.449388e-14 -6.851587e-15) (3.392858e-15 2.468680e+00 -1.544907e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
42            	((0.000000e+00 1.036730e-12 -2.280075e-12) (3.491829e+00 -3.613700e-15 -3.149581e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.276168e-12 5.700187e-14 2.591825e-14) (3.331416e-15 2.460705e+00 -1.539357e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
43            	((0.000000e+00 -2.403949e-13 -1.084620e-12) (3.478946e+00 -3.257070e-15 -2.911133e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.820685e-13 2.711549e-14 -6.009873e-15) (3.231547e-15 2.452944e+00 -1.534005e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
44            	((0.000000e+00 -2.174718e-13 -1.167543e-12) (3.466373e+00 -3.258224e-15 -3.030845e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.952811e-13 2.918859e-14 -5.436796e-15) (3.448601e-15 2.445375e+00 -1.530307e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
45            	((0.000000e+00 -2.287655e-13 -1.298713e-13) (3.454127e+00 -2.616737e-15 -2.187059e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.400978e-13 3.246782e-15 -5.719139e-15) (2.510118e-15 2.438002e+00 -1.526163e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
46            	((0.000000e+00 -3.169221e-13 -3.848764e-13) (3.442192e+00 -2.404175e-15 -1.813600e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.859295e-13 9.621910e-15 -7.923052e-15) (2.738639e-15 2.430815e+00 -1.521630e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
47            	((0.000000e+00 -5.109569e-13 -5.118390e-13) (3.430552e+00 -2.214282e-15 -2.074767e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.428642e-13 1.279598e-14 -1.277392e-14) (2.723234e-15 2.423805e+00 -1.516773e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
48            	((0.000000e+00 5.812882e-13 -9.187634e-13) (3.419196e+00 -2.429426e-15 -2.102875e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.509806e-13 2.296908e-14 1.453220e-14) (2.387705e-15 2.416964e+00 -1.511655e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
49            	((0.000000e+00 7.175071e-13 -1.526728e-12) (3.408110e+00 -2.797051e-15 -2.232456e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.005117e-13 3.816819e-14 1.793768e-14) (2.418463e-15 2.410284e+00 -1.506332e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
50            	((0.000000e+00 3.889965e-13 -1.295078e-12) (3.397282e+00 -2.906974e-15 -2.388418e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.366323e-13 3.237696e-14 9.724913e-15) (2.595018e-15 2.403760e+00 -1.500855e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
51            	((0.000000e+00 -1.864826e-12 9.291719e-14) (3.386701e+00 -2.057216e-15 -1.784841e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.268534e-12 -2.322930e-15 -4.662065e-14) (2.737039e-15 2.397383e+00 -1.495266e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
52            	((0.000000e+00 1.304853e-12 -2.570597e-12) (3.376358e+00 -3.337916e-15 -3.309143e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.478612e-12 6.426491e-14 3.262134e-14) (3.379183e-15 2.391149e+00 -1.489600e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
53            	((0.000000e+00 3.462883e-13 -8.338487e-13) (3.366242e+00 -2.985555e-15 -3.214127e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.846736e-13 2.084622e-14 8.657208e-15) (2.779378e-15 2.385051e+00 -1.483886e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
54            	((0.000000e+00 -3.899751e-13 -4.543603e-13) (3.356344e+00 -2.574082e-15 -1.969470e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.671875e-13 1.135901e-14 -9.749378e-15) (2.639292e-15 2.379083e+00 -1.478146e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
55            	((0.000000e+00 -2.423108e-13 -7.219575e-13) (3.346656e+00 -2.530901e-15 -1.992704e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.224092e-13 1.804894e-14 -6.057769e-15) (2.765260e-15 2.373242e+00 -1.472351e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
56            	((0.000000e+00 -9.418852e-14 -5.761969e-13) (3.337170e+00 -2.389340e-15 -1.974939e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.785653e-14 1.440492e-14 -2.354713e-15) (2.560192e-15 2.367521e+00 -1.466566e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
57            	((0.000000e+00 -7.005905e-13 3.440512e-13) (3.327877e+00 -1.685958e-15 -1.383603e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.992520e-13 -8.601281e-15 -1.751476e-14) (2.005279e-15 2.361916e+00 -1.460802e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
58            	((0.000000e+00 8.106657e-13 -1.848182e-12) (3.318771e+00 -2.606981e-15 -2.372802e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.289989e-13 4.620455e-14 2.026664e-14) (2.585111e-15 2.356423e+00 -1.455065e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
59            	((0.000000e+00 -3.709836e-13 -8.258208e-13) (3.309845e+00 -2.326952e-15 -2.273859e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.036922e-13 2.064552e-14 -9.274591e-15) (2.439995e-15 2.351038e+00 -1.449360e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
60            	((0.000000e+00 -1.280507e-13 -2.544239e-13) (3.301091e+00 -1.965563e-15 -1.640764e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.104115e-13 6.360598e-15 -3.201267e-15) (2.004925e-15 2.345757e+00 -1.443690e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
61            	((0.000000e+00 8.140440e-13 -1.325692e-12) (3.292505e+00 -2.580876e-15 -1.596615e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.529508e-13 3.314231e-14 2.035110e-14) (2.297610e-15 2.340576e+00 -1.438056e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
62            	((0.000000e+00 -5.947652e-13 -7.767188e-13) (3.284081e+00 -2.282441e-15 -2.152805e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.443030e-13 1.941797e-14 -1.486913e-14) (2.444753e-15 2.335493e+00 -1.432458e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
63            	((0.000000e+00 -1.623259e-13 -9.727198e-13) (3.275812e+00 -2.385053e-15 -2.476320e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.581010e-13 2.431799e-14 -4.058149e-15) (2.632414e-15 2.330502e+00 -1.426895e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
64            	((0.000000e+00 -2.852194e-13 -4.802595e-13) (3.267693e+00 -2.111948e-15 -1.832479e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.268290e-13 1.200649e-14 -7.130485e-15) (2.377748e-15 2.325602e+00 -1.421366e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
65            	((0.000000e+00 1.090691e-12 -2.821621e-12) (3.259720e+00 -3.439668e-15 -3.830118e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.205298e-12 7.054052e-14 2.726727e-14) (3.434430e-15 2.320790e+00 -1.415869e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
