# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (2.479264e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 -1.040834e-16) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((0.000000e+00 0.000000e+00 -1.669640e-11) (2.365721e+00 -9.264995e-15 -1.478057e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.430772e-12 4.174099e-13 0.000000e+00) (8.148327e-16 3.695143e-17 -3.117234e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2             	((0.000000e+00 0.000000e+00 -7.673759e-12) (2.146494e+00 -7.393813e-15 -2.165940e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.217677e-12 1.918440e-13 0.000000e+00) (1.419139e-15 5.414849e-17 -7.395419e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
3             	((0.000000e+00 0.000000e+00 -3.513101e-12) (1.980255e+00 -5.405367e-15 -1.984819e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.857650e-13 8.782753e-14 0.000000e+00) (1.529444e-15 4.962048e-17 -1.123282e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
4             	((0.000000e+00 0.000000e+00 -5.150254e-12) (1.852150e+00 -6.776074e-15 -1.946633e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.172988e-13 1.287563e-13 0.000000e+00) (1.545465e-15 4.866584e-17 -1.441294e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
5             	((0.000000e+00 0.000000e+00 -8.888739e-13) (1.751787e+00 -3.933776e-15 -1.589125e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.639800e-13 2.222185e-14 0.000000e+00) (1.402085e-15 3.972811e-17 -1.701733e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
6             	((0.000000e+00 0.000000e+00 -2.319649e-12) (1.671970e+00 -4.454144e-15 -1.407029e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.874263e-13 5.799122e-14 0.000000e+00) (1.255036e-15 3.517572e-17 -1.914409e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
7             	((0.000000e+00 0.000000e+00 -1.659570e-12) (1.607577e+00 -3.841297e-15 -1.348629e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.223153e-14 4.148924e-14 0.000000e+00) (1.190274e-15 3.371572e-17 -2.088256e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
8             	((0.000000e+00 0.000000e+00 -2.732651e-12) (1.554893e+00 -4.296402e-15 -1.408644e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.267370e-13 6.831627e-14 0.000000e+00) (1.214415e-15 3.521610e-17 -2.230656e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
9             	((0.000000e+00 0.000000e+00 5.071976e-13) (1.511191e+00 -2.009843e-15 -1.163148e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.710299e-13 -1.267994e-14 0.000000e+00) (1.084903e-15 2.907870e-17 -2.347523e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
10            	((0.000000e+00 0.000000e+00 -3.548739e-12) (1.474442e+00 -4.081781e-15 -1.283922e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.559819e-13 8.871847e-14 0.000000e+00) (1.109834e-15 3.209806e-17 -2.443547e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
