# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (4.958528e+00 -3.004451e-32 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-3.010586e-18 4.958528e+00 -1.942890e-15) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((0.000000e+00 8.343614e-12 0.000000e+00) (4.744989e+00 -1.523339e-15 -8.702749e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.708066e-12 0.000000e+00 2.085904e-13) (8.139332e-15 4.758148e+00 -8.701172e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2             	((0.000000e+00 2.948580e-12 0.000000e+00) (4.311125e+00 -2.347248e-15 -8.115216e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.152779e-12 0.000000e+00 7.371450e-14) (6.566953e-15 4.328531e+00 -1.179767e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3             	((0.000000e+00 -5.876610e-13 0.000000e+00) (3.983472e+00 -2.130082e-15 -6.352278e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.202192e-12 0.000000e+00 -1.469152e-14) (6.474160e-15 4.005354e+00 -1.931434e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
4             	((0.000000e+00 1.735609e-12 0.000000e+00) (3.732206e+00 -2.041904e-15 -7.135766e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.247059e-12 0.000000e+00 4.339022e-14) (6.543817e-15 3.758689e+00 -2.250917e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
5             	((0.000000e+00 -1.623624e-12 0.000000e+00) (3.536404e+00 -1.730510e-15 -3.834007e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.675105e-12 0.000000e+00 -4.059059e-14) (4.901162e-15 3.567465e+00 -2.359984e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
6             	((0.000000e+00 1.053201e-12 0.000000e+00) (3.381585e+00 -1.560335e-15 -3.644949e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.016620e-12 0.000000e+00 2.633002e-14) (4.277528e-15 3.417106e+00 -2.361376e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
7             	((0.000000e+00 5.991347e-14 0.000000e+00) (3.257442e+00 -1.500864e-15 -3.529500e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.880478e-14 0.000000e+00 1.497837e-15) (3.948725e-15 3.297243e+00 -2.308460e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
8             	((0.000000e+00 1.609507e-13 0.000000e+00) (3.156507e+00 -1.512485e-15 -4.476545e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.968598e-13 0.000000e+00 4.023767e-15) (4.654257e-15 3.200371e+00 -2.230188e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
9             	((0.000000e+00 -1.775978e-12 0.000000e+00) (3.073299e+00 -1.268822e-15 -2.501314e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.557948e-12 0.000000e+00 -4.439945e-14) (2.949191e-15 3.120990e+00 -2.142536e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
10            	((0.000000e+00 1.391509e-12 0.000000e+00) (3.003754e+00 -1.386914e-15 -3.715438e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.991824e-13 0.000000e+00 3.478773e-14) (4.582962e-15 3.055028e+00 -2.054368e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
11            	((0.000000e+00 4.034959e-13 0.000000e+00) (2.944838e+00 -1.305739e-15 -2.661725e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.256283e-13 0.000000e+00 1.008740e-14) (2.706488e-15 2.999450e+00 -1.970370e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
12            	((0.000000e+00 -5.574938e-13 0.000000e+00) (2.894263e+00 -1.175878e-15 -1.970294e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.540505e-13 0.000000e+00 -1.393734e-14) (2.143806e-15 2.951978e+00 -1.892845e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
13            	((0.000000e+00 -6.152416e-13 0.000000e+00) (2.850300e+00 -1.184806e-15 -2.580291e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.517657e-13 0.000000e+00 -1.538104e-14) (3.329217e-15 2.910890e+00 -1.822693e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
14            	((0.000000e+00 2.115890e-13 0.000000e+00) (2.811626e+00 -1.159236e-15 -2.419596e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.457037e-14 0.000000e+00 5.289725e-15) (3.136564e-15 2.874880e+00 -1.760010e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
15            	((0.000000e+00 1.042186e-12 0.000000e+00) (2.777230e+00 -1.181710e-15 -2.601993e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.877193e-13 0.000000e+00 2.605466e-14) (3.289533e-15 2.842949e+00 -1.704447e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
16            	((0.000000e+00 -2.681217e-13 0.000000e+00) (2.746327e+00 -1.093820e-15 -2.233503e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.084117e-14 0.000000e+00 -6.703043e-15) (2.137905e-15 2.814329e+00 -1.655432e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
17            	((0.000000e+00 -3.748964e-13 0.000000e+00) (2.718307e+00 -1.040282e-15 -1.878529e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.168111e-13 0.000000e+00 -9.372410e-15) (2.321444e-15 2.788424e+00 -1.612299e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
18            	((0.000000e+00 -1.403028e-13 0.000000e+00) (2.692692e+00 -1.031743e-15 -1.640105e-15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.141368e-13 0.000000e+00 -3.507570e-15) (2.343651e-15 2.764772e+00 -1.574369e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
